,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
numAttLayers1_hiddenDim128_encLen128,0.9776 (0.00512),0.9776 (0.00510),0.9807 (0.00498),0.9746 (0.00540),0.9551 (0.01024),0.9520 (0.00294),0.9522 (0.00289),0.9552 (0.00513),0.9493 (0.00577),0.9041 (0.00585),0.9443 (0.00142),0.9442 (0.00145),0.9422 (0.00374),0.9462 (0.00322),0.8886 (0.00285)
numAttLayers1_hiddenDim128_encLen256,0.9769 (0.00325),0.9770 (0.00324),0.9801 (0.00331),0.9739 (0.00339),0.9538 (0.00650),0.9526 (0.00268),0.9528 (0.00255),0.9570 (0.00479),0.9487 (0.00656),0.9053 (0.00530),0.9452 (0.00144),0.9451 (0.00143),0.9436 (0.00340),0.9466 (0.00340),0.8904 (0.00288)
numAttLayers1_hiddenDim128_encLen64,0.9782 (0.00564),0.9782 (0.00562),0.9815 (0.00560),0.9750 (0.00575),0.9564 (0.01127),0.9521 (0.00222),0.9523 (0.00211),0.9553 (0.00437),0.9494 (0.00580),0.9043 (0.00441),0.9442 (0.00147),0.9440 (0.00149),0.9416 (0.00355),0.9464 (0.00319),0.8883 (0.00294)
numAttLayers1_hiddenDim256_encLen128,0.9778 (0.00585),0.9778 (0.00583),0.9803 (0.00575),0.9754 (0.00604),0.9556 (0.01170),0.9533 (0.00269),0.9534 (0.00257),0.9556 (0.00455),0.9512 (0.00653),0.9066 (0.00536),0.9451 (0.00133),0.9449 (0.00137),0.9416 (0.00390),0.9483 (0.00331),0.8903 (0.00266)
numAttLayers1_hiddenDim256_encLen256,0.9760 (0.00502),0.9761 (0.00500),0.9790 (0.00510),0.9732 (0.00514),0.9521 (0.01003),0.9532 (0.00210),0.9533 (0.00203),0.9561 (0.00552),0.9505 (0.00607),0.9064 (0.00416),0.9453 (0.00117),0.9452 (0.00124),0.9431 (0.00431),0.9474 (0.00342),0.8907 (0.00233)
numAttLayers1_hiddenDim256_encLen64,0.9779 (0.00587),0.9780 (0.00584),0.9808 (0.00551),0.9751 (0.00633),0.9559 (0.01174),0.9524 (0.00244),0.9526 (0.00228),0.9548 (0.00496),0.9504 (0.00703),0.9050 (0.00482),0.9446 (0.00139),0.9444 (0.00150),0.9414 (0.00496),0.9474 (0.00354),0.8892 (0.00275)
numAttLayers1_hiddenDim64_encLen128,0.9784 (0.00408),0.9785 (0.00406),0.9820 (0.00405),0.9750 (0.00423),0.9568 (0.00815),0.9512 (0.00285),0.9514 (0.00279),0.9553 (0.00467),0.9476 (0.00537),0.9025 (0.00567),0.9434 (0.00143),0.9433 (0.00146),0.9419 (0.00307),0.9447 (0.00254),0.8868 (0.00287)
numAttLayers1_hiddenDim64_encLen256,0.9782 (0.00442),0.9783 (0.00440),0.9817 (0.00438),0.9749 (0.00456),0.9564 (0.00883),0.9519 (0.00271),0.9521 (0.00262),0.9559 (0.00514),0.9484 (0.00621),0.9039 (0.00538),0.9445 (0.00136),0.9444 (0.00137),0.9429 (0.00427),0.9460 (0.00388),0.8891 (0.00272)
numAttLayers1_hiddenDim64_encLen64,0.9779 (0.00545),0.9780 (0.00543),0.9815 (0.00552),0.9745 (0.00545),0.9559 (0.01090),0.9511 (0.00310),0.9513 (0.00296),0.9549 (0.00506),0.9478 (0.00711),0.9024 (0.00614),0.9440 (0.00167),0.9438 (0.00176),0.9421 (0.00450),0.9457 (0.00299),0.8879 (0.00333)
numAttLayers2_hiddenDim128_encLen128,0.9787 (0.00423),0.9788 (0.00421),0.9819 (0.00407),0.9756 (0.00471),0.9574 (0.00847),0.9535 (0.00207),0.9536 (0.00198),0.9568 (0.00486),0.9505 (0.00579),0.9070 (0.00410),0.9458 (0.00158),0.9456 (0.00155),0.9432 (0.00371),0.9481 (0.00397),0.8916 (0.00316)
numAttLayers2_hiddenDim128_encLen256,0.9780 (0.00419),0.9781 (0.00416),0.9808 (0.00381),0.9754 (0.00475),0.9561 (0.00837),0.9537 (0.00230),0.9539 (0.00220),0.9571 (0.00515),0.9507 (0.00618),0.9075 (0.00453),0.9460 (0.00145),0.9459 (0.00153),0.9440 (0.00384),0.9479 (0.00245),0.8921 (0.00288)
numAttLayers2_hiddenDim128_encLen64,0.9786 (0.00475),0.9787 (0.00473),0.9813 (0.00462),0.9761 (0.00517),0.9572 (0.00949),0.9532 (0.00209),0.9533 (0.00201),0.9563 (0.00561),0.9504 (0.00626),0.9064 (0.00415),0.9451 (0.00186),0.9449 (0.00190),0.9418 (0.00436),0.9480 (0.00375),0.8902 (0.00372)
numAttLayers2_hiddenDim256_encLen128,0.9785 (0.00467),0.9786 (0.00466),0.9816 (0.00473),0.9755 (0.00487),0.9570 (0.00935),0.9537 (0.00234),0.9539 (0.00223),0.9563 (0.00429),0.9514 (0.00599),0.9075 (0.00465),0.9457 (0.00171),0.9456 (0.00173),0.9430 (0.00369),0.9482 (0.00330),0.8915 (0.00341)
numAttLayers2_hiddenDim256_encLen256,0.9739 (0.02340),0.9734 (0.02672),0.9738 (0.04211),0.9739 (0.00801),0.9484 (0.04396),0.9513 (0.01769),0.9509 (0.02039),0.9506 (0.03417),0.9518 (0.00601),0.9030 (0.03316),0.9428 (0.01858),0.9420 (0.02202),0.9361 (0.03667),0.9486 (0.00448),0.8861 (0.03427)
numAttLayers2_hiddenDim256_encLen64,0.9698 (0.05512),0.9644 (0.08702),0.9621 (0.11354),0.9775 (0.00579),0.9430 (0.09053),0.9442 (0.05081),0.9388 (0.08294),0.9359 (0.10940),0.9526 (0.00979),0.8917 (0.08184),0.9366 (0.05048),0.9307 (0.08359),0.9225 (0.10865),0.9500 (0.00704),0.8765 (0.08135)
numAttLayers2_hiddenDim64_encLen128,0.9781 (0.00465),0.9782 (0.00463),0.9816 (0.00467),0.9748 (0.00478),0.9562 (0.00930),0.9521 (0.00264),0.9523 (0.00252),0.9559 (0.00443),0.9487 (0.00622),0.9042 (0.00523),0.9450 (0.00136),0.9449 (0.00135),0.9434 (0.00296),0.9464 (0.00315),0.8899 (0.00274)
numAttLayers2_hiddenDim64_encLen256,0.9781 (0.00532),0.9782 (0.00530),0.9811 (0.00536),0.9753 (0.00548),0.9563 (0.01064),0.9530 (0.00255),0.9532 (0.00251),0.9563 (0.00510),0.9501 (0.00536),0.9061 (0.00508),0.9446 (0.00171),0.9446 (0.00173),0.9430 (0.00399),0.9461 (0.00349),0.8893 (0.00342)
numAttLayers2_hiddenDim64_encLen64,0.9795 (0.00443),0.9796 (0.00441),0.9829 (0.00423),0.9762 (0.00485),0.9590 (0.00886),0.9516 (0.00285),0.9518 (0.00270),0.9546 (0.00427),0.9490 (0.00677),0.9033 (0.00566),0.9446 (0.00136),0.9444 (0.00138),0.9422 (0.00351),0.9467 (0.00307),0.8891 (0.00272)
numAttLayers4_hiddenDim128_encLen128,0.9777 (0.00535),0.9777 (0.00533),0.9809 (0.00534),0.9746 (0.00558),0.9554 (0.01070),0.9534 (0.00271),0.9536 (0.00260),0.9569 (0.00458),0.9503 (0.00624),0.9068 (0.00538),0.9456 (0.00161),0.9455 (0.00162),0.9434 (0.00349),0.9476 (0.00321),0.8912 (0.00321)
numAttLayers4_hiddenDim128_encLen256,0.9775 (0.00468),0.9775 (0.00467),0.9805 (0.00494),0.9746 (0.00487),0.9549 (0.00936),0.9535 (0.00227),0.9537 (0.00214),0.9575 (0.00465),0.9500 (0.00633),0.9071 (0.00448),0.9455 (0.00160),0.9455 (0.00164),0.9443 (0.00451),0.9467 (0.00371),0.8911 (0.00319)
numAttLayers4_hiddenDim128_encLen64,0.9751 (0.02624),0.9744 (0.03077),0.9738 (0.04871),0.9761 (0.00757),0.9509 (0.04844),0.9496 (0.01967),0.9491 (0.02353),0.9484 (0.04063),0.9507 (0.00581),0.8999 (0.03578),0.9419 (0.02106),0.9410 (0.02586),0.9356 (0.04352),0.9476 (0.00380),0.8846 (0.03785)
numAttLayers4_hiddenDim256_encLen128,0.9744 (0.02016),0.9743 (0.02158),0.9757 (0.03009),0.9730 (0.01252),0.9490 (0.03951),0.9514 (0.01384),0.9513 (0.01486),0.9523 (0.02222),0.9505 (0.00950),0.9030 (0.02714),0.9426 (0.01602),0.9421 (0.01778),0.9377 (0.02689),0.9469 (0.00869),0.8855 (0.03099)
numAttLayers4_hiddenDim256_encLen256,0.9738 (0.02298),0.9734 (0.02530),0.9747 (0.03681),0.9726 (0.01218),0.9478 (0.04446),0.9513 (0.01625),0.9511 (0.01792),0.9522 (0.02765),0.9503 (0.00873),0.9028 (0.03147),0.9429 (0.01726),0.9424 (0.01953),0.9386 (0.03043),0.9465 (0.00747),0.8861 (0.03304)
numAttLayers4_hiddenDim256_encLen64,0.9253 (0.12765),0.9073 (0.18342),0.9014 (0.21503),0.9616 (0.07922),0.8615 (0.23174),0.9046 (0.11775),0.8871 (0.17369),0.8812 (0.20505),0.9407 (0.07580),0.8200 (0.21239),0.8967 (0.11614),0.8782 (0.17288),0.8668 (0.20396),0.9386 (0.07534),0.8047 (0.20860)
numAttLayers4_hiddenDim64_encLen128,0.9794 (0.00487),0.9794 (0.00486),0.9823 (0.00499),0.9765 (0.00498),0.9587 (0.00975),0.9516 (0.00258),0.9518 (0.00246),0.9554 (0.00377),0.9483 (0.00577),0.9033 (0.00511),0.9443 (0.00186),0.9443 (0.00186),0.9432 (0.00302),0.9454 (0.00296),0.8887 (0.00372)
numAttLayers4_hiddenDim64_encLen256,0.9783 (0.00395),0.9783 (0.00395),0.9812 (0.00423),0.9754 (0.00403),0.9565 (0.00791),0.9519 (0.00245),0.9521 (0.00234),0.9551 (0.00391),0.9491 (0.00571),0.9039 (0.00487),0.9443 (0.00168),0.9442 (0.00172),0.9424 (0.00387),0.9460 (0.00309),0.8886 (0.00336)
numAttLayers4_hiddenDim64_encLen64,0.9798 (0.00502),0.9799 (0.00499),0.9830 (0.00469),0.9768 (0.00550),0.9596 (0.01003),0.9517 (0.00299),0.9519 (0.00293),0.9556 (0.00442),0.9482 (0.00541),0.9035 (0.00595),0.9441 (0.00246),0.9440 (0.00245),0.9424 (0.00374),0.9456 (0.00401),0.8881 (0.00491)
